category, skill
Data Science / Analytics, data cleaning,
Data Science / Analytics, análise descritiva,
Data Science / Analytics, modelagem preditiva (classificação e regressão),
Data Science / Analytics, análise de agrupamento (hierárquico e não hierárquico),
Data Science / Analytics, relatórios e dashboards,
Ferramentas, R,
Ferramentas, Python,
Ferramentas, Power BI,
Ferramentas, SQL,
Ferramentas, MongoDB,
Ferramentas, AWS Athena,
Ferramentas, AWS S3,
Ferramentas, Shell Script,
Ferramentas, C#,
Ferramentas, Java,
Ferramentas, HTML,
Ferramentas, CSS,
Ferramentas, Django e Excel/VBA,










